userId	geneSymbol	geneName	entrezgene	score	gLink
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	2.5319464	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	-0.19935201	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABHD13	ABHD13	abhydrolase domain containing 13	84945	3.8028462	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD15	ABHD15	abhydrolase domain containing 15	116236	0.08036179	https://www.ncbi.nlm.nih.gov/gene/?term=116236
ABHD3	ABHD3	abhydrolase domain containing 3	171586	2.048969	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4	63874	3.4020884	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD6	ABHD6	abhydrolase domain containing 6	57406	1.6839548	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABI3	ABI3	ABI family member 3	51225	-0.10072728	https://www.ncbi.nlm.nih.gov/gene/?term=51225
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	-4.0161095	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	3.095848	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	1.3631922	https://www.ncbi.nlm.nih.gov/gene/?term=27
ABLIM3	ABLIM3	actin binding LIM protein family member 3	22885	-0.12084829	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ABR	ABR	ABR, RhoGEF and GTPase activating protein	29	1.4969248	https://www.ncbi.nlm.nih.gov/gene/?term=29
ABTB1	ABTB1	ankyrin repeat and BTB domain containing 1	80325	2.3196614	https://www.ncbi.nlm.nih.gov/gene/?term=80325
ACAA1	ACAA1	acetyl-CoA acyltransferase 1	30	6.518033	https://www.ncbi.nlm.nih.gov/gene/?term=30
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	1.515041	https://www.ncbi.nlm.nih.gov/gene/?term=31
ACAD10	ACAD10	acyl-CoA dehydrogenase family member 10	80724	3.6714118	https://www.ncbi.nlm.nih.gov/gene/?term=80724
ACAD8	ACAD8	acyl-CoA dehydrogenase family member 8	27034	0.0052075027	https://www.ncbi.nlm.nih.gov/gene/?term=27034
ACADL	ACADL	acyl-CoA dehydrogenase long chain	33	-0.07542322	https://www.ncbi.nlm.nih.gov/gene/?term=33
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	-0.25969058	https://www.ncbi.nlm.nih.gov/gene/?term=9744
ACBD4	ACBD4	acyl-CoA binding domain containing 4	79777	1.6999929	https://www.ncbi.nlm.nih.gov/gene/?term=79777
ACCS	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	1.9771397	https://www.ncbi.nlm.nih.gov/gene/?term=84680
ACE	ACE	angiotensin I converting enzyme	1636	2.0836368	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACER3	ACER3	alkaline ceramidase 3	55331	5.513963	https://www.ncbi.nlm.nih.gov/gene/?term=55331
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	1.8676598	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT4	ACOT4	acyl-CoA thioesterase 4	122970	0.3921763	https://www.ncbi.nlm.nih.gov/gene/?term=122970
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	1.7796457	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOX2	ACOX2	acyl-CoA oxidase 2	8309	3.0625496	https://www.ncbi.nlm.nih.gov/gene/?term=8309
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	2.9549277	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ACOXL	ACOXL	acyl-CoA oxidase like	55289	0.046378557	https://www.ncbi.nlm.nih.gov/gene/?term=55289
ACP2	ACP2	acid phosphatase 2, lysosomal	53	4.077817	https://www.ncbi.nlm.nih.gov/gene/?term=53
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	0.5890835	https://www.ncbi.nlm.nih.gov/gene/?term=54
ACP6	ACP6	acid phosphatase 6, lysophosphatidic	51205	1.1357001	https://www.ncbi.nlm.nih.gov/gene/?term=51205
ACPP	ACPP	acid phosphatase, prostate	55	2.0217578	https://www.ncbi.nlm.nih.gov/gene/?term=55
ACRBP	ACRBP	acrosin binding protein	84519	-0.07498315	https://www.ncbi.nlm.nih.gov/gene/?term=84519
ACSBG1	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	-0.26624274	https://www.ncbi.nlm.nih.gov/gene/?term=23205
ACSF2	ACSF2	acyl-CoA synthetase family member 2	80221	6.1660743	https://www.ncbi.nlm.nih.gov/gene/?term=80221
ACSF3	ACSF3	acyl-CoA synthetase family member 3	197322	3.008543	https://www.ncbi.nlm.nih.gov/gene/?term=197322
ACSL1	ACSL1	acyl-CoA synthetase long chain family member 1	2180	4.9738255	https://www.ncbi.nlm.nih.gov/gene/?term=2180
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	1.7029268	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSS1	ACSS1	acyl-CoA synthetase short chain family member 1	84532	1.2551793	https://www.ncbi.nlm.nih.gov/gene/?term=84532
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	4.8359118	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ACSS3	ACSS3	acyl-CoA synthetase short chain family member 3	79611	7.583591	https://www.ncbi.nlm.nih.gov/gene/?term=79611
ACTA2	ACTA2	actin alpha 2, smooth muscle	59	1.7336828	https://www.ncbi.nlm.nih.gov/gene/?term=59
ACTBL2	ACTBL2	actin beta like 2	345651	2.5832882	https://www.ncbi.nlm.nih.gov/gene/?term=345651
ACTC1	ACTC1	actin alpha cardiac muscle 1	70	-0.45982495	https://www.ncbi.nlm.nih.gov/gene/?term=70
ACTG1P4	ACTG1P4	actin gamma 1 pseudogene 4	648740	1.2163309	https://www.ncbi.nlm.nih.gov/gene/?term=648740
ACTG2	ACTG2	actin gamma 2, smooth muscle	72	-0.64521694	https://www.ncbi.nlm.nih.gov/gene/?term=72
ACTL10	ACTL10	actin like 10	170487	0.11434502	https://www.ncbi.nlm.nih.gov/gene/?term=170487
ACTR5	ACTR5	actin related protein 5	79913	-0.038921803	https://www.ncbi.nlm.nih.gov/gene/?term=79913
ACTR8	ACTR8	actin related protein 8	93973	1.7710398	https://www.ncbi.nlm.nih.gov/gene/?term=93973
ACTRT3	ACTRT3	actin related protein T3	84517	0.03344537	https://www.ncbi.nlm.nih.gov/gene/?term=84517
ACVR1	ACVR1	activin A receptor type 1	90	0.91818297	https://www.ncbi.nlm.nih.gov/gene/?term=90
ACVR2B	ACVR2B	activin A receptor type 2B	93	-2.1733134	https://www.ncbi.nlm.nih.gov/gene/?term=93
ACVRL1	ACVRL1	activin A receptor like type 1	94	0.11050663	https://www.ncbi.nlm.nih.gov/gene/?term=94
ACY3	ACY3	aminoacylase 3	91703	2.3410537	https://www.ncbi.nlm.nih.gov/gene/?term=91703
ADA	ADA	adenosine deaminase	100	1.4452899	https://www.ncbi.nlm.nih.gov/gene/?term=100
ADAL	ADAL	adenosine deaminase like	161823	1.369891	https://www.ncbi.nlm.nih.gov/gene/?term=161823
ADAM12	ADAM12	ADAM metallopeptidase domain 12	8038	0.7322287	https://www.ncbi.nlm.nih.gov/gene/?term=8038
ADAM15	ADAM15	ADAM metallopeptidase domain 15	8751	5.21826	https://www.ncbi.nlm.nih.gov/gene/?term=8751
ADAM1A	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	8759	0.3552837	https://www.ncbi.nlm.nih.gov/gene/?term=8759
ADAM28	ADAM28	ADAM metallopeptidase domain 28	10863	6.9909134	https://www.ncbi.nlm.nih.gov/gene/?term=10863
ADAM33	ADAM33	ADAM metallopeptidase domain 33	80332	-0.09637547	https://www.ncbi.nlm.nih.gov/gene/?term=80332
ADAM8	ADAM8	ADAM metallopeptidase domain 8	101	6.552652	https://www.ncbi.nlm.nih.gov/gene/?term=101
ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	4.9570537	https://www.ncbi.nlm.nih.gov/gene/?term=9510
ADAMTS13	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093	-0.025670787	https://www.ncbi.nlm.nih.gov/gene/?term=11093
ADAMTS18	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692	0.3012039	https://www.ncbi.nlm.nih.gov/gene/?term=170692
ADAMTS19	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	171019	-0.08860089	https://www.ncbi.nlm.nih.gov/gene/?term=171019
ADAMTS3	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	0.6749217	https://www.ncbi.nlm.nih.gov/gene/?term=9508
ADAMTS4	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507	0.21377654	https://www.ncbi.nlm.nih.gov/gene/?term=9507
ADAMTS5	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	0.074274145	https://www.ncbi.nlm.nih.gov/gene/?term=11096
ADAMTS6	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174	-1.956603	https://www.ncbi.nlm.nih.gov/gene/?term=11174
ADAMTS8	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095	-0.25076693	https://www.ncbi.nlm.nih.gov/gene/?term=11095
ADAMTS9	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	3.6551046	https://www.ncbi.nlm.nih.gov/gene/?term=56999
ADAMTSL1	ADAMTSL1	ADAMTS like 1	92949	-1.4916439	https://www.ncbi.nlm.nih.gov/gene/?term=92949
ADAMTSL4	ADAMTSL4	ADAMTS like 4	54507	1.4474902	https://www.ncbi.nlm.nih.gov/gene/?term=54507
ADAP2	ADAP2	ArfGAP with dual PH domains 2	55803	-0.59213954	https://www.ncbi.nlm.nih.gov/gene/?term=55803
ADARB1	ADARB1	adenosine deaminase, RNA specific B1	104	0.3900004	https://www.ncbi.nlm.nih.gov/gene/?term=104
ADAT1	ADAT1	adenosine deaminase, tRNA specific 1	23536	2.092047	https://www.ncbi.nlm.nih.gov/gene/?term=23536
ADAT2	ADAT2	adenosine deaminase, tRNA specific 2	134637	0.8576488	https://www.ncbi.nlm.nih.gov/gene/?term=134637
ADCK1	ADCK1	aarF domain containing kinase 1	57143	1.7606249	https://www.ncbi.nlm.nih.gov/gene/?term=57143
ADCK2	ADCK2	aarF domain containing kinase 2	90956	2.4497755	https://www.ncbi.nlm.nih.gov/gene/?term=90956
ADCK5	ADCK5	aarF domain containing kinase 5	203054	1.3229257	https://www.ncbi.nlm.nih.gov/gene/?term=203054
ADCY10P1	ADCY10P1	adenylate cyclase 10, soluble pseudogene 1	221442	0.08464026	https://www.ncbi.nlm.nih.gov/gene/?term=221442
ADCY2	ADCY2	adenylate cyclase 2	108	-0.6447035	https://www.ncbi.nlm.nih.gov/gene/?term=108
ADCY3	ADCY3	adenylate cyclase 3	109	-0.10776842	https://www.ncbi.nlm.nih.gov/gene/?term=109
ADCY4	ADCY4	adenylate cyclase 4	196883	0.44219765	https://www.ncbi.nlm.nih.gov/gene/?term=196883
ADCY5	ADCY5	adenylate cyclase 5	111	1.211759	https://www.ncbi.nlm.nih.gov/gene/?term=111
ADCY6	ADCY6	adenylate cyclase 6	112	1.6242518	https://www.ncbi.nlm.nih.gov/gene/?term=112
ADCY7	ADCY7	adenylate cyclase 7	113	-0.4454004	https://www.ncbi.nlm.nih.gov/gene/?term=113
ADCY8	ADCY8	adenylate cyclase 8	114	1.2981595	https://www.ncbi.nlm.nih.gov/gene/?term=114
ADCYAP1R1	ADCYAP1R1	ADCYAP receptor type I	117	-3.4027486	https://www.ncbi.nlm.nih.gov/gene/?term=117
ADD2	ADD2	adducin 2	119	0.619864	https://www.ncbi.nlm.nih.gov/gene/?term=119
ADGB	ADGB	androglobin	79747	-3.3373003	https://www.ncbi.nlm.nih.gov/gene/?term=79747
ADH1B	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125	-0.23274848	https://www.ncbi.nlm.nih.gov/gene/?term=125
ADH1C	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	0.2713769	https://www.ncbi.nlm.nih.gov/gene/?term=126
ADH6	ADH6	alcohol dehydrogenase 6 (class V)	130	-3.0796878	https://www.ncbi.nlm.nih.gov/gene/?term=130
ADHFE1	ADHFE1	alcohol dehydrogenase, iron containing 1	137872	1.3588403	https://www.ncbi.nlm.nih.gov/gene/?term=137872
ADIPOR2	ADIPOR2	adiponectin receptor 2	79602	3.9466515	https://www.ncbi.nlm.nih.gov/gene/?term=79602
ADM	ADM	adrenomedullin	133	10.065051	https://www.ncbi.nlm.nih.gov/gene/?term=133
ADNP	ADNP	activity dependent neuroprotector homeobox	23394	2.666046	https://www.ncbi.nlm.nih.gov/gene/?term=23394
ADNP2	ADNP2	ADNP homeobox 2	22850	3.0538948	https://www.ncbi.nlm.nih.gov/gene/?term=22850
ADORA2A	ADORA2A	adenosine A2a receptor	135	0.81970495	https://www.ncbi.nlm.nih.gov/gene/?term=135
ADORA3	ADORA3	adenosine A3 receptor	140	-0.31880674	https://www.ncbi.nlm.nih.gov/gene/?term=140
ADPRH	ADPRH	ADP-ribosylarginine hydrolase	141	1.3163003	https://www.ncbi.nlm.nih.gov/gene/?term=141
ADPRHL2	ADPRHL2	ADP-ribosylhydrolase like 2	54936	1.9187081	https://www.ncbi.nlm.nih.gov/gene/?term=54936
ADPRM	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	56985	1.2352784	https://www.ncbi.nlm.nih.gov/gene/?term=56985
ADRA2A	ADRA2A	adrenoceptor alpha 2A	150	2.6634054	https://www.ncbi.nlm.nih.gov/gene/?term=150
ADRA2B	ADRA2B	adrenoceptor alpha 2B	151	1.3475941	https://www.ncbi.nlm.nih.gov/gene/?term=151
ADRB2	ADRB2	adrenoceptor beta 2	154	4.973605	https://www.ncbi.nlm.nih.gov/gene/?term=154
ADTRP	ADTRP	androgen dependent TFPI regulating protein	84830	0.9856605	https://www.ncbi.nlm.nih.gov/gene/?term=84830
AFAP1	AFAP1	actin filament associated protein 1	60312	4.5380087	https://www.ncbi.nlm.nih.gov/gene/?term=60312
AFAP1L1	AFAP1L1	actin filament associated protein 1 like 1	134265	1.8658751	https://www.ncbi.nlm.nih.gov/gene/?term=134265
AFF3	AFF3	AF4/FMR2 family member 3	3899	-0.33240002	https://www.ncbi.nlm.nih.gov/gene/?term=3899
AFG3L1P	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	172	1.4510596	https://www.ncbi.nlm.nih.gov/gene/?term=172
AGAP1	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	116987	3.8731596	https://www.ncbi.nlm.nih.gov/gene/?term=116987
AGAP3	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	116988	3.0645053	https://www.ncbi.nlm.nih.gov/gene/?term=116988
AGBL2	AGBL2	ATP/GTP binding protein like 2	79841	-2.4071865	https://www.ncbi.nlm.nih.gov/gene/?term=79841
AGBL3	AGBL3	ATP/GTP binding protein like 3	340351	0.36662775	https://www.ncbi.nlm.nih.gov/gene/?term=340351
AGER	AGER	advanced glycosylation end-product specific receptor	177	0.6899819	https://www.ncbi.nlm.nih.gov/gene/?term=177
AGFG1	AGFG1	ArfGAP with FG repeats 1	3267	5.21249	https://www.ncbi.nlm.nih.gov/gene/?term=3267
AGFG2	AGFG2	ArfGAP with FG repeats 2	3268	1.3923347	https://www.ncbi.nlm.nih.gov/gene/?term=3268
AGO1	AGO1	argonaute RISC catalytic component 1	26523	-0.32807267	https://www.ncbi.nlm.nih.gov/gene/?term=26523
AGO3	AGO3	argonaute RISC catalytic component 3	192669	1.5157989	https://www.ncbi.nlm.nih.gov/gene/?term=192669
AGO4	AGO4	argonaute RISC catalytic component 4	192670	0.71203434	https://www.ncbi.nlm.nih.gov/gene/?term=192670
AGPAT3	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	56894	2.110041	https://www.ncbi.nlm.nih.gov/gene/?term=56894
AGPAT4	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	56895	1.157777	https://www.ncbi.nlm.nih.gov/gene/?term=56895
AGPAT4-IT1	AGPAT4-IT1	AGPAT4 intronic transcript 1	79992	-0.089089856	https://www.ncbi.nlm.nih.gov/gene/?term=79992
AGPAT5	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	55326	1.8164895	https://www.ncbi.nlm.nih.gov/gene/?term=55326
AGPS	AGPS	alkylglycerone phosphate synthase	8540	0.7991927	https://www.ncbi.nlm.nih.gov/gene/?term=8540
AGR2	AGR2	anterior gradient 2, protein disulphide isomerase family member	10551	2.2978535	https://www.ncbi.nlm.nih.gov/gene/?term=10551
AGR3	AGR3	anterior gradient 3, protein disulphide isomerase family member	155465	3.5772367	https://www.ncbi.nlm.nih.gov/gene/?term=155465
AGT	AGT	angiotensinogen	183	2.9797916	https://www.ncbi.nlm.nih.gov/gene/?term=183
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287	1.8420624	https://www.ncbi.nlm.nih.gov/gene/?term=23287
AGXT	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	189	0.021954635	https://www.ncbi.nlm.nih.gov/gene/?term=189
AHCY	AHCY	adenosylhomocysteinase	191	1.697597	https://www.ncbi.nlm.nih.gov/gene/?term=191
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768	3.653711	https://www.ncbi.nlm.nih.gov/gene/?term=10768
AHCYL2	AHCYL2	adenosylhomocysteinase like 2	23382	1.2778184	https://www.ncbi.nlm.nih.gov/gene/?term=23382
AHNAK2	AHNAK2	AHNAK nucleoprotein 2	113146	0.6058795	https://www.ncbi.nlm.nih.gov/gene/?term=113146
AHRR	AHRR	aryl-hydrocarbon receptor repressor	57491	0.4421243	https://www.ncbi.nlm.nih.gov/gene/?term=57491
AIF1	AIF1	allograft inflammatory factor 1	199	-0.28267205	https://www.ncbi.nlm.nih.gov/gene/?term=199
AIFM2	AIFM2	apoptosis inducing factor, mitochondria associated 2	84883	1.4978539	https://www.ncbi.nlm.nih.gov/gene/?term=84883
AJUBA	AJUBA	ajuba LIM protein	84962	1.2895538	https://www.ncbi.nlm.nih.gov/gene/?term=84962
AK1	AK1	adenylate kinase 1	203	1.104235	https://www.ncbi.nlm.nih.gov/gene/?term=203
AK4	AK4	adenylate kinase 4	205	3.1576047	https://www.ncbi.nlm.nih.gov/gene/?term=205
AKAP1	AKAP1	A-kinase anchoring protein 1	8165	1.2230542	https://www.ncbi.nlm.nih.gov/gene/?term=8165
AKAP11	AKAP11	A-kinase anchoring protein 11	11215	1.9092221	https://www.ncbi.nlm.nih.gov/gene/?term=11215
AKAP12	AKAP12	A-kinase anchoring protein 12	9590	1.8582228	https://www.ncbi.nlm.nih.gov/gene/?term=9590
AKAP13	AKAP13	A-kinase anchoring protein 13	11214	10.329094	https://www.ncbi.nlm.nih.gov/gene/?term=11214
AKAP14	AKAP14	A-kinase anchoring protein 14	158798	-3.6572804	https://www.ncbi.nlm.nih.gov/gene/?term=158798
AKAP3	AKAP3	A-kinase anchoring protein 3	10566	-0.32577452	https://www.ncbi.nlm.nih.gov/gene/?term=10566
AKAP6	AKAP6	A-kinase anchoring protein 6	9472	-0.26949438	https://www.ncbi.nlm.nih.gov/gene/?term=9472
AKAP7	AKAP7	A-kinase anchoring protein 7	9465	1.3640234	https://www.ncbi.nlm.nih.gov/gene/?term=9465
AKAP8L	AKAP8L	A-kinase anchoring protein 8 like	26993	3.859224	https://www.ncbi.nlm.nih.gov/gene/?term=26993
AKNA	AKNA	AT-hook transcription factor	80709	-0.6343374	https://www.ncbi.nlm.nih.gov/gene/?term=80709
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016	-0.008165755	https://www.ncbi.nlm.nih.gov/gene/?term=57016
AKR1C2	AKR1C2	aldo-keto reductase family 1 member C2	1646	-0.583387	https://www.ncbi.nlm.nih.gov/gene/?term=1646
AKT3	AKT3	AKT serine/threonine kinase 3	10000	2.1400146	https://www.ncbi.nlm.nih.gov/gene/?term=10000
ALAD	ALAD	aminolevulinate dehydratase	210	2.8410473	https://www.ncbi.nlm.nih.gov/gene/?term=210
ALCAM	ALCAM	activated leukocyte cell adhesion molecule	214	-3.1174116	https://www.ncbi.nlm.nih.gov/gene/?term=214
ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family member A1	216	7.907263	https://www.ncbi.nlm.nih.gov/gene/?term=216
ALDH1A3	ALDH1A3	aldehyde dehydrogenase 1 family member A3	220	12.427839	https://www.ncbi.nlm.nih.gov/gene/?term=220
ALDH3A1	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	-1.28085	https://www.ncbi.nlm.nih.gov/gene/?term=218
ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family member B1	221	6.690443	https://www.ncbi.nlm.nih.gov/gene/?term=221
ALDH4A1	ALDH4A1	aldehyde dehydrogenase 4 family member A1	8659	0.4903365	https://www.ncbi.nlm.nih.gov/gene/?term=8659
ALDOC	ALDOC	aldolase, fructose-bisphosphate C	230	1.8892722	https://www.ncbi.nlm.nih.gov/gene/?term=230
ALG12	ALG12	ALG12, alpha-1,6-mannosyltransferase	79087	2.7901702	https://www.ncbi.nlm.nih.gov/gene/?term=79087
ALG9	ALG9	ALG9, alpha-1,2-mannosyltransferase	79796	2.6721823	https://www.ncbi.nlm.nih.gov/gene/?term=79796
ALKBH1	ALKBH1	alkB homolog 1, histone H2A dioxygenase	8846	0.5919439	https://www.ncbi.nlm.nih.gov/gene/?term=8846
ALKBH4	ALKBH4	alkB homolog 4, lysine demethylase	54784	-0.09070345	https://www.ncbi.nlm.nih.gov/gene/?term=54784
ALKBH8	ALKBH8	alkB homolog 8, tRNA methyltransferase	91801	0.10471237	https://www.ncbi.nlm.nih.gov/gene/?term=91801
ALMS1	ALMS1	ALMS1, centrosome and basal body associated protein	7840	0.09603319	https://www.ncbi.nlm.nih.gov/gene/?term=7840
ALOX12P2	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	245	1.3301135	https://www.ncbi.nlm.nih.gov/gene/?term=245
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	-0.30496895	https://www.ncbi.nlm.nih.gov/gene/?term=246
ALOX15B	ALOX15B	arachidonate 15-lipoxygenase, type B	247	0.4971087	https://www.ncbi.nlm.nih.gov/gene/?term=247
ALOX5	ALOX5	arachidonate 5-lipoxygenase	240	9.68175	https://www.ncbi.nlm.nih.gov/gene/?term=240
ALOX5AP	ALOX5AP	arachidonate 5-lipoxygenase activating protein	241	-0.77281296	https://www.ncbi.nlm.nih.gov/gene/?term=241
ALOXE3	ALOXE3	arachidonate lipoxygenase 3	59344	-0.07070468	https://www.ncbi.nlm.nih.gov/gene/?term=59344
ALPL	ALPL	alkaline phosphatase, biomineralization associated	249	-0.848554	https://www.ncbi.nlm.nih.gov/gene/?term=249
ALPP	ALPP	alkaline phosphatase, placental	250	-0.26113304	https://www.ncbi.nlm.nih.gov/gene/?term=250
ALS2	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor	57679	2.3309565	https://www.ncbi.nlm.nih.gov/gene/?term=57679
ALS2CL	ALS2CL	ALS2 C-terminal like	259173	7.702068	https://www.ncbi.nlm.nih.gov/gene/?term=259173
ALS2CR12	ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region 12	130540	-1.0565119	https://www.ncbi.nlm.nih.gov/gene/?term=130540
AMDHD2	AMDHD2	amidohydrolase domain containing 2	51005	1.4150227	https://www.ncbi.nlm.nih.gov/gene/?term=51005
AMFR	AMFR	autocrine motility factor receptor	267	-4.422441	https://www.ncbi.nlm.nih.gov/gene/?term=267
